id,name,cuisine,rating,cost_for_two,location,type,votes,vegetarian,delivery_time,description
18,Tandoor Express,Indian,4.3,200,Shivaji Nagar,Fast Food,2109,True,20,Freshly baked naans and smoky tandoor specials made to order
19,The Olive Garden,Mediterranean,4.5,600,Koregaon Park,Fine Dining,387,True,50,Fresh mezze platters wood-fired pita and curated Levantine wines
20,Seoul Kitchen,Korean,4.4,420,Viman Nagar,Casual,543,False,40,Authentic bibimbap and Korean BBQ grilled right at your table
21,Biryani Bros,Indian,4.7,280,Magarpatta,Casual,3421,False,30,Award-winning slow dum biryani served with mirchi ka salan
22,Napoli Express,Italian,4.0,300,Pimpri,Fast Food,765,True,25,Quick-serve Neapolitan calzones and stromboli fresh from the oven
23,Fortune Garden,Chinese,4.2,320,Kalyani Nagar,Casual,876,False,35,Cantonese seafood specialties and weekend dim sum brunch experience
24,Five Guys Style,American,4.3,350,Baner,Casual,1234,False,25,Fully customizable hand-packed burgers with fresh-cut fries
25,Wasabi Lab,Japanese,4.5,650,Koregaon Park,Fine Dining,298,False,55,Modern Japanese cuisine meets molecular gastronomy in every dish
26,Dal Makhani House,Indian,4.6,220,Pune Camp,Casual,2876,True,30,Slow-simmered black lentil dal makhani with buttery naans and rice
27,Trattoria Roma,Italian,4.4,520,Kalyani Nagar,Casual,543,False,40,Roman-style trattoria with house-made tagliatelle and osso buco
28,Sichuan Spice,Chinese,4.3,390,Viman Nagar,Casual,654,False,35,Fiery Sichuan cuisine with mouth-numbing mala hot pot
29,Texas BBQ,American,4.5,750,Koregaon Park,Fine Dining,432,False,50,Texas-style slow-smoked meats with house-made BBQ sauce
30,Ramen Republic,Japanese,4.4,480,Baner,Casual,876,False,40,Rich tonkotsu and shoyu ramen with handmade noodles
31,Chole Bhature Co,Indian,4.3,150,Shivaji Nagar,Fast Food,3654,True,15,Fluffy bhature with spiced chickpea curry and fresh pickle
32,Margherita Milano,Italian,4.5,450,Hinjewadi,Casual,765,True,30,Classic Margherita and seasonal specials from a wood-fired oven
33,Peking Duck House,Chinese,4.6,550,Kalyani Nagar,Fine Dining,432,False,45,Signature Peking duck with thin pancakes and hoisin sauce
34,Shake Shack Style,American,4.2,300,Wakad,Fast Food,1876,False,20,Signature ShackBurger style patties with crinkle-cut fries
35,Sushi Zen,Japanese,4.7,720,Koregaon Park,Fine Dining,543,False,55,Omakase experience with seasonal sushi and sake pairings
36,Maa Ki Rasoi,Indian,4.5,200,Hadapsar,Casual,2109,True,30,Home-style Indian cooking with seasonal vegetables and dal tadka
37,Carbonara Club,Italian,4.3,500,Baner,Casual,654,False,40,Roman pasta classics including carbonara cacio e pepe and amatriciana
38,Golden Dragon,Chinese,4.0,280,Aundh,Casual,765,True,30,Classic Chinese takeaway with fried rice and Manchurian
39,Johnny Rockets Style,American,4.1,250,Pimpri,Fast Food,1432,False,20,1950s diner-style milkshakes and classic American burgers
40,Izakaya Tokyo,Japanese,4.4,580,Kalyani Nagar,Casual,432,False,45,Japanese pub-style small plates with yakitori and edamame
41,Rajasthani Rasoi,Indian,4.4,270,Shivaji Nagar,Casual,1876,True,35,Dal baati churma and laal maas from the royal kitchens of Rajasthan
42,Pizza Hut Classic,Italian,3.9,380,Hadapsar,Fast Food,3210,True,25,Classic pan pizzas with stuffed crust and garlic bread
43,Manchurian Street,Chinese,3.8,180,Pimpri,Fast Food,2345,True,20,Quick Chinese street food gobi Manchurian and spring rolls
44,Denny's Diner Style,American,3.9,220,Wakad,Fast Food,2109,False,20,All-day breakfast pancakes eggs Benedict and classic diner fare
45,Kaito Sushi Bar,Japanese,4.6,650,Baner,Fine Dining,321,False,50,Intimate sushi bar with chef's special omakase tasting menu
46,Punjabi Dhaba,Indian,4.2,170,Hadapsar,Fast Food,4321,False,20,Authentic Punjabi dhaba experience with sarson da saag and makki roti
47,Linguine Love,Italian,4.5,530,Koregaon Park,Fine Dining,432,True,45,Handmade fresh pasta with seasonal truffle and mushroom sauces
48,Kung Fu Kitchen,Chinese,4.1,310,Viman Nagar,Casual,876,False,35,Wok-tossed kung pao dishes and steamed dim sum baskets
49,Cowboy Grill,American,4.3,680,Koregaon Park,Fine Dining,321,False,55,Open-flame grilled steaks with cowboy butter and loaded baked potato
50,Katsu House,Japanese,4.3,420,Magarpatta,Casual,543,False,40,Japanese katsu curry with golden-fried pork and chicken cutlets
51,Biryani Baadshah,Indian,4.6,300,Magarpatta,Casual,2987,False,30,Hyderabadi dum biryani with raita and salan served in earthen pots
52,Pesto Palace,Italian,4.4,490,Kalyani Nagar,Casual,654,True,35,Ligurian-style pesto pasta with pine nuts and freshly grated parmesan
53,Dim Sum Dynasty,Chinese,4.5,400,Baner,Casual,765,True,35,Premium dim sum with 30-plus varieties steamed fried and baked
54,Memphis Blues,American,4.6,720,Koregaon Park,Fine Dining,432,False,55,Memphis-style pulled pork ribs and tangy coleslaw with corn bread
55,Yakitori Station,Japanese,4.2,380,Aundh,Casual,543,False,40,Charcoal-grilled yakitori skewers with sake and Japanese whisky
56,Sabudana Special,Indian,4.1,130,Shivaji Nagar,Fast Food,2109,True,15,Maharashtra specialties sabudana khichdi thalipeeth and poha
57,Sicilian Secrets,Italian,4.7,620,Koregaon Park,Fine Dining,321,False,50,Sicilian-inspired arancini freshly made cannoli and seafood pasta
58,Lotus Chinese,4.0,260,Hadapsar,Chinese,Casual,876,False,30,Cantonese family recipes lotus stem dishes and steamed fish specials
59,In-N-Out Style,American,4.4,220,Hinjewadi,Fast Food,3210,False,20,California-style double-double burgers animal style with fresh fries
60,Mochi Cafe,Japanese,4.3,350,Baner,Casual,654,True,35,Japanese mochi desserts matcha lattes and light Japanese snacks
61,Kerala Kitchen,Indian,4.5,280,Kothrud,Casual,1654,True,35,Authentic Kerala sadya with avial sambar and coconut-based curries
62,Focaccia Fresh,Italian,4.2,360,Wakad,Casual,543,True,30,Ligurian-style focaccia with seasonal toppings and Italian cold cuts
63,Hot Wok Express,Chinese,3.9,200,Hadapsar,Fast Food,1876,True,20,Express Chinese stir-fry noodles fried rice and schezwan sauces
64,Roadhouse Grill,American,4.0,400,Pimpri,Casual,876,False,35,Route 66-inspired diner with BBQ chicken wings and loaded nachos
65,Udon House,Japanese,4.4,420,Viman Nagar,Casual,432,False,40,Freshly pulled udon noodles in dashi broth with tempura toppings
66,Chettinad Palace,Indian,4.6,350,Koregaon Park,Fine Dining,876,False,45,Fiery Chettinad chicken curry pepper fry and traditional banana leaf meals
67,Risotto Room,Italian,4.5,580,Kalyani Nagar,Fine Dining,432,True,50,Creamy seasonal risottos with porcini truffle and asparagus variations
68,Noodle Nation,Chinese,4.1,250,Magarpatta,Casual,1098,True,30,Hand-pulled Lanzhou-style beef noodles and traditional wonton soup
69,Craft Burger Co,American,4.5,420,Baner,Casual,1543,False,25,Craft beer-battered onion rings and signature wagyu patty burgers
70,Tempura Temptation,Japanese,4.4,500,Koregaon Park,Fine Dining,321,False,50,Light and crispy tempura with seasonal vegetables and fresh seafood
71,Idli Dosa Factory,Indian,4.3,120,Hadapsar,Fast Food,5432,True,15,South Indian breakfast staples crispy dosas fluffy idlis and sambar
72,Arancini Bar,Italian,4.3,480,Baner,Casual,432,True,35,Sicilian arancini balls with various fillings and house marinara dip
73,Shanghai Street,Chinese,4.2,300,Aundh,Casual,765,False,30,Shanghai soup dumplings xiaolongbao and scallion pancakes
74,BBQ Nation Style,American,4.4,550,Koregaon Park,Casual,1234,False,35,DIY live grill tables unlimited BBQ with Indian spice rubs
75,Miso Hungry,Japanese,4.3,400,Magarpatta,Casual,543,False,40,Homestyle Japanese miso soups gyoza and everyday comfort food
76,Thali Bhai,Indian,4.4,180,Shivaji Nagar,Fast Food,3876,True,20,Unlimited thali with 12-plus items rotis sabzi rice dal and dessert
77,Quattro Stagioni,Italian,4.6,650,Koregaon Park,Fine Dining,321,False,55,Four seasons Italian menu changing monthly with market-fresh produce
78,Pearly Dragon,Chinese,4.3,370,Kalyani Nagar,Casual,654,False,35,Cantonese roasted meats char siu and crispy duck with rice
79,Smokehouse Deli,American,4.2,480,Baner,Casual,876,False,35,New York-style deli sandwiches cold cuts pastrami and cheesecake
80,Gyoza Garden,Japanese,4.5,440,Viman Nagar,Casual,654,True,35,Pan-fried and steamed gyoza dumplings with homemade dipping sauces
81,Andhra Spice,Indian,4.5,200,Hadapsar,Casual,2109,False,30,Spicy Andhra cuisine gongura mutton pesarattu and hyderabadi curries
82,Gnocchi House,Italian,4.4,520,Kalyani Nagar,Fine Dining,432,True,45,Handmade potato gnocchi with gorgonzola sage butter and truffle oil
83,Yum Cha Palace,Chinese,4.4,420,Koregaon Park,Casual,876,True,35,Weekend yum cha brunch with 40-plus dim sum varieties
84,Brisket & Bones,American,4.7,850,Koregaon Park,Fine Dining,321,False,60,18-hour smoked Texas brisket with house pickles and jalapeño cornbread
85,Shabu Shabu World,Japanese,4.5,600,Baner,Fine Dining,298,False,55,Japanese hot pot with wagyu beef premium vegetables and ponzu dips
86,Vada Pav Express,Indian,4.2,80,Shivaji Nagar,Fast Food,6543,True,10,Mumbai's iconic vada pav with three chutneys and fried green chilli
87,Bruschetta Bar,Italian,4.1,320,Wakad,Casual,543,True,30,Fresh bruschetta with seasonal toppings antipasto platters and Aperol
88,Spring Roll Station,Chinese,3.9,170,Hadapsar,Fast Food,2345,True,15,Fresh and fried spring rolls with wonton soup and sweet chilli sauce
89,Waffle House Style,American,3.8,200,Pimpri,Fast Food,1876,False,20,All-day waffles with maple syrup crispy bacon and hash browns
90,Soba Noodle Bar,Japanese,4.3,390,Magarpatta,Casual,432,False,40,Hand-cut buckwheat soba noodles in cold and hot broth preparations
91,Litti Chokha Hub,Indian,4.3,150,Hadapsar,Fast Food,1654,True,20,Bihar specialties litti chokha sattu paratha and thandai
92,Cannelloni Corner,Italian,4.4,490,Aundh,Casual,432,True,35,Baked cannelloni with ricotta spinach filling and house tomato sauce
93,Dragon Noodle Bar,Chinese,4.2,290,Baner,Casual,876,False,30,Spicy Sichuan dan dan noodles and braised pork belly rice bowls
94,Tex Mex Grill,American,4.1,380,Viman Nagar,Casual,765,True,30,Tex-Mex favourites quesadillas fajitas loaded nachos and frozen margaritas
95,Teriyaki Temple,Japanese,4.4,460,Koregaon Park,Casual,543,False,40,Glazed teriyaki chicken and salmon bowls with steamed rice and pickles
96,Masala Dosa Junction,Indian,4.4,110,Kothrud,Fast Food,4321,True,15,Crispy Mysore masala dosas with coconut chutney and sambar
97,Tortellini Terrace,Italian,4.5,560,Koregaon Park,Fine Dining,321,True,45,Handmade stuffed tortellini in sage brown butter or rich bolognese
98,Wonton Wonders,Chinese,4.3,310,Magarpatta,Casual,765,False,30,Cantonese wonton noodle soup and Hong Kong-style milk tea
99,Nashville Hot Chicken,American,4.5,420,Baner,Casual,1098,False,25,Spicy Nashville hot chicken sandwiches with pickles and coleslaw
100,Tempeh Kitchen,Japanese,4.2,380,Wakad,Casual,432,True,35,Plant-based Japanese bowls with tempeh teriyaki miso soup and pickles
101,Goan Fish Curry,Indian,4.6,320,Viman Nagar,Casual,1234,False,35,Authentic Goan fish curry with kokum solkadi and steamed rice
102,Lasagna Lounge,Italian,4.3,470,Baner,Casual,543,True,35,Classic and creative lasagna varieties with fresh pasta and house sauce
103,Wonton Soup Bar,Chinese,4.0,240,Pimpri,Casual,654,True,30,Comforting wonton soups with handmade dumplings and bok choy
104,Burger Theory,American,4.3,360,Magarpatta,Casual,1098,False,25,Science of the perfect patty – smashed aged beef with artisan buns
105,Ramen Lab,Japanese,4.6,520,Koregaon Park,Casual,654,False,40,Experimental ramen with rotating seasonal broths and premium toppings
106,Saoji Nagpur,Indian,4.5,250,Hadapsar,Casual,1876,False,30,Fiery Nagpur-style saoji mutton curry with thick spice-laden gravy
107,Caprese & Co,Italian,4.4,440,Kalyani Nagar,Casual,432,True,30,Fresh caprese salads burrata and light Italian plates with natural wine
108,Imperial Garden,Chinese,4.5,480,Koregaon Park,Fine Dining,543,False,45,Imperial Cantonese cuisine abalone shark fin soup and Peking duck
109,Cheesesteak Central,American,4.2,310,Wakad,Casual,876,False,30,Philadelphia-style cheesesteak sandwiches with Whiz and grilled onions
110,Yakitori Alley,Japanese,4.3,400,Aundh,Casual,432,False,35,Street-style charcoal yakitori with 20-plus skewer varieties
111,Rajma Chawal King,Indian,4.3,140,Shivaji Nagar,Fast Food,2987,True,15,Classic Punjabi rajma chawal with jeera rice and pickle
112,Fettuccine Friends,Italian,4.2,400,Baner,Casual,543,True,30,Fettuccine Alfredo carbonara and aglio olio with freshly grated parmesan
113,Mapo Tofu House,Chinese,4.4,340,Viman Nagar,Casual,654,True,30,Sichuan mapo tofu kung pao paneer and vegetarian Chinese specialties
114,Wing Commander,American,4.4,380,Hinjewadi,Casual,1432,False,25,18 sauces of chicken wings with craft beer pairings and loaded fries
115,Tonkotsu Tales,Japanese,4.5,540,Kalyani Nagar,Casual,543,False,40,Rich Hakata-style tonkotsu ramen with chashu pork and ramen eggs
116,Mutton Biryani Masters,Indian,4.7,350,Magarpatta,Casual,3210,False,35,Slow-cooked mutton dum biryani with whole spices and caramelized onions
117,Pizza della Nonna,Italian,4.6,580,Koregaon Park,Fine Dining,321,True,50,Grandmother-style Italian recipes with heirloom tomatoes and fresh herbs
118,Mongolian Grill,Chinese,4.2,360,Baner,Casual,765,False,35,Build-your-own Mongolian stir-fry bowl with fresh proteins and sauces
119,Diner Deluxe,American,4.1,280,Kothrud,Casual,876,False,30,Classic all-American diner with blue plate specials and milkshake bar
120,Bento Box,Japanese,4.3,350,Wakad,Casual,543,False,35,Japanese bento boxes with balanced portions of rice protein and sides
